Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Food supply quantity (tonnes),1970,tonnes,323218,S
Colombia,Food supply quantity (tonnes),1969,tonnes,250536,S
Colombia,Food supply quantity (tonnes),1968,tonnes,175948,S
Colombia,Food supply quantity (tonnes),1967,tonnes,247418,S
Colombia,Food supply quantity (tonnes),1966,tonnes,229136,S
Colombia,Food supply quantity (tonnes),1965,tonnes,236290,S
Colombia,Food supply quantity (tonnes),1964,tonnes,248130,S
Colombia,Food supply quantity (tonnes),1963,tonnes,232860,S
Colombia,Food supply quantity (tonnes),1962,tonnes,242235,S
Colombia,Food supply quantity (tonnes),1961,tonnes,223070,S
Colombia,Food supply quantity (kg/capita/yr),2013,kg,10.56,Fc
Colombia,Food supply quantity (kg/capita/yr),2012,kg,4.08,Fc
Colombia,Food supply quantity (kg/capita/yr),2011,kg,3.79,Fc
Colombia,Food supply quantity (kg/capita/yr),2010,kg,6.28,Fc
Colombia,Food supply quantity (kg/capita/yr),2009,kg,2.66,Fc
Colombia,Food supply quantity (kg/capita/yr),2008,kg,5.69,Fc
Colombia,Food supply quantity (kg/capita/yr),2007,kg,3.36,Fc
Colombia,Food supply quantity (kg/capita/yr),2006,kg,5.98,Fc
Colombia,Food supply quantity (kg/capita/yr),2005,kg,3.4,Fc
Colombia,Food supply quantity (kg/capita/yr),2004,kg,4.73,Fc
Colombia,Food supply quantity (kg/capita/yr),2003,kg,4.7,Fc
Colombia,Food supply quantity (kg/capita/yr),2002,kg,1.84,Fc
Colombia,Food supply quantity (kg/capita/yr),2001,kg,2.52,Fc
Colombia,Food supply quantity (kg/capita/yr),2000,kg,2.48,Fc
Colombia,Food supply quantity (kg/capita/yr),1999,kg,0.87,Fc
Colombia,Food supply quantity (kg/capita/yr),1998,kg,2.58,Fc
Colombia,Food supply quantity (kg/capita/yr),1997,kg,1.04,Fc
Colombia,Food supply quantity (kg/capita/yr),1996,kg,0.88,Fc
Colombia,Food supply quantity (kg/capita/yr),1995,kg,7.92,Fc
Colombia,Food supply quantity (kg/capita/yr),1994,kg,7.27,Fc
Colombia,Food supply quantity (kg/capita/yr),1993,kg,9.02,Fc
Colombia,Food supply quantity (kg/capita/yr),1992,kg,8.71,Fc
Colombia,Food supply quantity (kg/capita/yr),1991,kg,0.53,Fc
Colombia,Food supply quantity (kg/capita/yr),1990,kg,2.12,Fc
Colombia,Food supply quantity (kg/capita/yr),1989,kg,7.1,Fc
Colombia,Food supply quantity (kg/capita/yr),1988,kg,6.96,Fc
Colombia,Food supply quantity (kg/capita/yr),1987,kg,5.05,Fc
Colombia,Food supply quantity (kg/capita/yr),1986,kg,0.83,Fc
Colombia,Food supply quantity (kg/capita/yr),1985,kg,3.89,Fc
Colombia,Food supply quantity (kg/capita/yr),1984,kg,2.03,Fc
Colombia,Food supply quantity (kg/capita/yr),1983,kg,3.49,Fc
Colombia,Food supply quantity (kg/capita/yr),1982,kg,2.37,Fc
Colombia,Food supply quantity (kg/capita/yr),1981,kg,1.17,Fc
Colombia,Food supply quantity (kg/capita/yr),1980,kg,3,Fc
Colombia,Food supply quantity (kg/capita/yr),1979,kg,5.83,Fc
Colombia,Food supply quantity (kg/capita/yr),1978,kg,6.42,Fc
Colombia,Food supply quantity (kg/capita/yr),1977,kg,13.21,Fc
